Position-x,Position-y,Velocity-x,Velocity-y
290,173,30.020456417204645,330.2250205892511
291,192,30.020456417204645,570.3886719268883
292,199,30.020456417204645,210.1431949204325
290,170,-60.04091283440929,-870.5932360989348
289,149,-30.020456417204645,-630.4295847612975
289,138,0.0,-330.2250205892511
289,136,0.0,-60.04091283440929
289,143,0.0,210.1431949204325
290,158,30.020456417204645,450.3068462580697
291,173,30.020456417204645,450.3068462580697
290,146,-30.020456417204645,-810.5523232645254
289,128,-30.020456417204645,-540.3682155096836
289,119,0.0,-270.1841077548418
290,119,30.020456417204645,0.0
290,127,0.0,240.16365133763716
291,142,30.020456417204645,450.3068462580697
291,137,0.0,-150.10228208602322
290,115,-30.020456417204645,-660.4500411785021
290,103,0.0,-360.24547700645576
290,99,0.0,-120.08182566881858
290,102,0.0,90.06136925161394
293,115,90.06136925161394,390.2659334236604
291,121,-60.04091283440929,180.12273850322788
290,100,-30.020456417204645,-630.4295847612975
291,87,30.020456417204645,-390.2659334236604
291,83,0.0,-120.08182566881858
291,85,0.0,60.04091283440929
291,97,0.0,360.24547700645576
291,101,0.0,120.08182566881858
291,81,0.0,-600.4091283440929
290,71,-30.020456417204645,-300.20456417204645
291,69,30.020456417204645,-60.04091283440929
291,74,0.0,150.10228208602322
293,86,60.04091283440929,360.24547700645576
293,80,0.0,-180.12273850322788
292,69,-30.020456417204645,-330.2250205892511
291,62,-30.020456417204645,-210.1431949204325
292,64,30.020456417204645,60.04091283440929
293,72,30.020456417204645,240.16365133763716
290,68,-90.06136925161394,-120.08182566881858
287,73,-90.06136925161394,150.10228208602322
284,84,-90.06136925161394,330.2250205892511
282,76,-60.04091283440929,-240.16365133763716
280,72,-60.04091283440929,-120.08182566881858
278,70,-60.04091283440929,-60.04091283440929
276,76,-60.04091283440929,180.12273850322788
274,86,-60.04091283440929,300.20456417204645
272,100,-60.04091283440929,420.286389840865
270,97,-60.04091283440929,-90.06136925161394
268,99,-60.04091283440929,60.04091283440929
264,108,-120.08182566881858,270.1841077548418
262,115,-60.04091283440929,210.1431949204325
260,116,-60.04091283440929,30.020456417204645
257,122,-90.06136925161394,180.12273850322788
255,134,-60.04091283440929,360.24547700645576
